"Story","Title","Result","Date","Stability","Duration (s)"
"Earning Points","Tracy goes from Standard to Bronze after she makes several trips","SUCCESS","2021-05-10T08:11:00.910719045Z[Etc/UTC]","0.0","39.62"
"Earning Points","Earning status levels from points earned for status level <Status Level>","SUCCESS","2021-05-10T08:11:40.604412889Z[Etc/UTC]","0.0","7.18"
"Earning Points","The region for <City> should be <Region>","SUCCESS","2021-05-10T08:11:47.798286214Z[Etc/UTC]","0.0","1.59"
"Earning Points","Stan books a single economy flight from London to Sydney","SUCCESS","2021-05-10T08:11:49.395001966Z[Etc/UTC]","0.0","10.92"
"Earning Points","Stan books a return economy flight from London to Sydney","SUCCESS","2021-05-10T08:12:00.384363946Z[Etc/UTC]","0.0","10.73"
"Earning Points","Flights within the <Region> region earn <Points Earned> points","SUCCESS","2021-05-10T08:12:11.193750977Z[Etc/UTC]","0.0","46.29"
"Earning Points","Travellers with <Status> level should earn <Bonus> bonus points","SUCCESS","2021-05-10T08:12:57.491750553Z[Etc/UTC]","0.0","46.66"
"Earning Points","Travellers travelling in <Travel Class> class should earn <Bonus> bonus points","SUCCESS","2021-05-10T08:13:44.153188925Z[Etc/UTC]","0.0","33.69"
"Earning Points","Tracy goes from Standard to Bronze after she makes several trips","SUCCESS","2021-05-10T08:14:41.771646342Z[Etc/UTC]","0.0","62.55"
"Earning Points","Earning status levels from points earned for status level <Status Level>","SUCCESS","2021-05-10T08:15:45.271878183Z[Etc/UTC]","0.0","7.76"
"Earning Points","The region for <City> should be <Region>","SUCCESS","2021-05-10T08:15:53.039829729Z[Etc/UTC]","0.0","1.58"
"Earning Points","Stan books a single economy flight from London to Sydney","SUCCESS","2021-05-10T08:15:54.630471975Z[Etc/UTC]","0.0","19.8"
"Earning Points","Stan books a return economy flight from London to Sydney","SUCCESS","2021-05-10T08:16:15.256055384Z[Etc/UTC]","0.0","16.24"
"Earning Points","Flights within the <Region> region earn <Points Earned> points","SUCCESS","2021-05-10T08:16:32.199175241Z[Etc/UTC]","0.0","63.87"
"Earning Points","Travellers with <Status> level should earn <Bonus> bonus points","SUCCESS","2021-05-10T08:17:36.07353455Z[Etc/UTC]","0.0","62.48"
"Earning Points","Travellers travelling in <Travel Class> class should earn <Bonus> bonus points","SUCCESS","2021-05-10T08:18:38.553701863Z[Etc/UTC]","0.0","44.58"
