"Story","Title","Result","Date","Stability","Duration (s)"
"View account status","Trevor has just joined the program","SUCCESS","2021-05-10T08:11:00.918320684Z[Etc/UTC]","0.0","12.91"
"View account status","Trevor views his flight history for a single flight","SUCCESS","2021-05-10T08:11:13.900835724Z[Etc/UTC]","0.0","13.51"
"View account status","Trevor views his flight history for a return flight","SUCCESS","2021-05-10T08:11:27.490185697Z[Etc/UTC]","0.0","15.27"
"View account status","Trevor views his flight history after several flights","SUCCESS","2021-05-10T08:11:42.840261735Z[Etc/UTC]","0.0","8.54"
"Earning Points","Tracy goes from Standard to Bronze after she makes several trips","SUCCESS","2021-05-10T08:11:00.910719045Z[Etc/UTC]","0.0","39.62"
"Earning Points","Earning status levels from points earned for status level <Status Level>","SUCCESS","2021-05-10T08:11:40.604412889Z[Etc/UTC]","0.0","7.18"
"Earning Points","The region for <City> should be <Region>","SUCCESS","2021-05-10T08:11:47.798286214Z[Etc/UTC]","0.0","1.59"
"Earning Points","Stan books a single economy flight from London to Sydney","SUCCESS","2021-05-10T08:11:49.395001966Z[Etc/UTC]","0.0","10.92"
"Earning Points","Stan books a return economy flight from London to Sydney","SUCCESS","2021-05-10T08:12:00.384363946Z[Etc/UTC]","0.0","10.73"
"Earning Points","Flights within the <Region> region earn <Points Earned> points","SUCCESS","2021-05-10T08:12:11.193750977Z[Etc/UTC]","0.0","46.29"
"Earning Points","Travellers with <Status> level should earn <Bonus> bonus points","SUCCESS","2021-05-10T08:12:57.491750553Z[Etc/UTC]","0.0","46.66"
"Earning Points","Travellers travelling in <Travel Class> class should earn <Bonus> bonus points","SUCCESS","2021-05-10T08:13:44.153188925Z[Etc/UTC]","0.0","33.69"
"Authentication","Trevor successfully logs on to the Frequent Flyer app","SUCCESS","2021-05-10T08:11:00.897285877Z[Etc/UTC]","0.0","12.07"
"Registering as a new Frequent Flyer","Trevor registers as a Frequent Flyer member","SUCCESS","2021-05-10T08:11:00.753634749Z[Etc/UTC]","0.0","17.86"
"Registering as a new Frequent Flyer","Someone tries to register with an email that is already used","SUCCESS","2021-05-10T08:11:18.694486596Z[Etc/UTC]","0.0","7.2"
"Registering as a new Frequent Flyer","Only correctly structured emails should be accepted","SUCCESS","2021-05-10T08:11:25.986843971Z[Etc/UTC]","0.0","19.59"
"Registering as a new Frequent Flyer","Email addresses need to be well formed","SUCCESS","2021-05-10T08:11:45.579683385Z[Etc/UTC]","0.0","9.26"
"Registering as a new Frequent Flyer","Candy fails to enter to enter a mandatory field","SUCCESS","2021-05-10T08:11:54.90819261Z[Etc/UTC]","0.0","30.04"
"Registering as a new Frequent Flyer","Candy forgets to agree to the Terms and Conditions","SUCCESS","2021-05-10T08:12:25.142944616Z[Etc/UTC]","0.0","4.63"
