"Story","Title","Result","Date","Stability","Duration (s)"
"Earning Points","Tracy goes from Standard to Bronze after she makes several trips","SUCCESS","2021-05-10T12:47:47.578272029Z[Etc/UTC]","0.0","69.62"
"Earning Points","Earning status levels from points earned for status level <Status Level>","SUCCESS","2021-05-10T12:48:57.270670604Z[Etc/UTC]","0.0","7.04"
"Earning Points","The region for <City> should be <Region>","SUCCESS","2021-05-10T12:49:04.321705374Z[Etc/UTC]","0.0","1.59"
"Earning Points","Stan books a single economy flight from London to Sydney","SUCCESS","2021-05-10T12:49:05.9921937Z[Etc/UTC]","0.0","10.23"
"Earning Points","Stan books a return economy flight from London to Sydney","SUCCESS","2021-05-10T12:49:16.288025878Z[Etc/UTC]","0.0","10.43"
"Earning Points","Flights within the <Region> region earn <Points Earned> points","SUCCESS","2021-05-10T12:49:26.79286584Z[Etc/UTC]","0.0","4.63"
"Earning Points","Travellers with <Status> level should earn <Bonus> bonus points","SUCCESS","2021-05-10T12:49:31.428857689Z[Etc/UTC]","0.0","4.51"
"Earning Points","Travellers travelling in <Travel Class> class should earn <Bonus> bonus points","SUCCESS","2021-05-10T12:49:35.938930279Z[Etc/UTC]","0.0","3.37"
"Earning Points","Tracy goes from Standard to Bronze after she makes several trips","SUCCESS","2021-05-10T12:49:59.470046456Z[Etc/UTC]","0.0","62.82"
"Earning Points","Earning status levels from points earned for status level <Status Level>","SUCCESS","2021-05-10T12:51:03.089491512Z[Etc/UTC]","0.0","7.63"
"Earning Points","The region for <City> should be <Region>","SUCCESS","2021-05-10T12:51:10.745852653Z[Etc/UTC]","0.0","1.58"
"Earning Points","Stan books a single economy flight from London to Sydney","SUCCESS","2021-05-10T12:51:12.338335103Z[Etc/UTC]","0.0","18.65"
"Earning Points","Stan books a return economy flight from London to Sydney","SUCCESS","2021-05-10T12:51:31.701266771Z[Etc/UTC]","0.0","15.03"
"Earning Points","Flights within the <Region> region earn <Points Earned> points","SUCCESS","2021-05-10T12:51:47.414739716Z[Etc/UTC]","0.0","4.52"
"Earning Points","Travellers with <Status> level should earn <Bonus> bonus points","SUCCESS","2021-05-10T12:51:51.938226994Z[Etc/UTC]","0.0","4.48"
"Earning Points","Travellers travelling in <Travel Class> class should earn <Bonus> bonus points","SUCCESS","2021-05-10T12:51:56.422598794Z[Etc/UTC]","0.0","3.47"
