"Story","Title","Result","Date","Stability","Duration (s)"
"View account status","Trevor has just joined the program","SUCCESS","2021-05-10T12:49:59.369706295Z[Etc/UTC]","0.0","26.6"
"View account status","Trevor views his flight history for a single flight","SUCCESS","2021-05-10T12:50:27.388438196Z[Etc/UTC]","0.0","20.71"
"View account status","Trevor views his flight history for a return flight","SUCCESS","2021-05-10T12:50:48.885461752Z[Etc/UTC]","0.0","19.65"
"View account status","Trevor views his flight history after several flights","SUCCESS","2021-05-10T12:51:09.417649868Z[Etc/UTC]","0.0","12.93"
"Earning Points","Tracy goes from Standard to Bronze after she makes several trips","SUCCESS","2021-05-10T12:49:59.470046456Z[Etc/UTC]","0.0","62.82"
"Earning Points","Earning status levels from points earned for status level <Status Level>","SUCCESS","2021-05-10T12:51:03.089491512Z[Etc/UTC]","0.0","7.63"
"Earning Points","The region for <City> should be <Region>","SUCCESS","2021-05-10T12:51:10.745852653Z[Etc/UTC]","0.0","1.58"
"Earning Points","Stan books a single economy flight from London to Sydney","SUCCESS","2021-05-10T12:51:12.338335103Z[Etc/UTC]","0.0","18.65"
"Earning Points","Stan books a return economy flight from London to Sydney","SUCCESS","2021-05-10T12:51:31.701266771Z[Etc/UTC]","0.0","15.03"
"Earning Points","Flights within the <Region> region earn <Points Earned> points","SUCCESS","2021-05-10T12:51:47.414739716Z[Etc/UTC]","0.0","4.52"
"Earning Points","Travellers with <Status> level should earn <Bonus> bonus points","SUCCESS","2021-05-10T12:51:51.938226994Z[Etc/UTC]","0.0","4.48"
"Earning Points","Travellers travelling in <Travel Class> class should earn <Bonus> bonus points","SUCCESS","2021-05-10T12:51:56.422598794Z[Etc/UTC]","0.0","3.47"
"Authentication","Trevor successfully logs on to the Frequent Flyer app","SUCCESS","2021-05-10T12:49:59.4763847Z[Etc/UTC]","0.0","25.1"
"Registering as a new Frequent Flyer","Trevor registers as a Frequent Flyer member","SUCCESS","2021-05-10T12:49:59.482986155Z[Etc/UTC]","0.0","31.68"
"Registering as a new Frequent Flyer","Someone tries to register with an email that is already used","SUCCESS","2021-05-10T12:50:32.204870185Z[Etc/UTC]","0.0","10.04"
"Registering as a new Frequent Flyer","Only correctly structured emails should be accepted","SUCCESS","2021-05-10T12:50:43.046042063Z[Etc/UTC]","0.0","32.39"
"Registering as a new Frequent Flyer","Email addresses need to be well formed","SUCCESS","2021-05-10T12:51:15.450435326Z[Etc/UTC]","0.0","13.26"
"Registering as a new Frequent Flyer","Candy fails to enter to enter a mandatory field","SUCCESS","2021-05-10T12:51:29.345346628Z[Etc/UTC]","0.0","37.28"
"Registering as a new Frequent Flyer","Candy forgets to agree to the Terms and Conditions","SUCCESS","2021-05-10T12:52:07.263361251Z[Etc/UTC]","0.0","6.17"
